Invoice ID,Vendor,Amount,Activity,Timestamp,Invoice Status,Resource
INV-2025-0001,Acme Office Supplies,706.66,Receive Invoice,2025-07-01T08:15:24Z,Received,Carla Reyes
INV-2025-0002,Vandelay Imports,2164.33,Receive Invoice,2025-07-01T09:12:41Z,Received,David Singh
INV-2025-0003,Acme Office Supplies,3146.24,Receive Invoice,2025-07-01T11:06:21Z,Received,Carla Reyes
INV-2025-0004,Soylent Catering,1910.15,Receive Invoice,2025-07-01T11:39:29Z,Received,Ben Okoro
INV-2025-0005,Umbrella Facilities,151.28,Receive Invoice,2025-07-01T12:23:44Z,Received,Alice Chen
INV-2025-0006,Umbrella Facilities,4303.79,Receive Invoice,2025-07-01T12:59:30Z,Received,Ben Okoro
INV-2025-0007,Stark Industrial,975.50,Receive Invoice,2025-07-01T13:29:02Z,Received,David Singh
INV-2025-0008,Northwind Traders,2083.21,Receive Invoice,2025-07-01T13:53:33Z,Received,David Singh
INV-2025-0009,Initech Software,1945.31,Receive Invoice,2025-07-01T14:34:43Z,Received,Alice Chen
INV-2025-0006,Umbrella Facilities,1780.36,Begin Review,2025-07-01T14:36:30Z,In Progress,Ben Okoro
INV-2025-0010,Umbrella Facilities,2644.19,Receive Invoice,2025-07-01T15:11:01Z,Received,Carla Reyes
INV-2025-0011,Stark Industrial,985.61,Receive Invoice,2025-07-01T15:30:31Z,Received,Ben Okoro
INV-2025-0012,Globex Logistics,3754.51,Receive Invoice,2025-07-01T15:34:47Z,Received,Carla Reyes
INV-2025-0013,Umbrella Facilities,2076.62,Receive Invoice,2025-07-01T16:30:55Z,Received,Ben Okoro
INV-2025-0005,Umbrella Facilities,325.02,Begin Review,2025-07-01T19:45:44Z,In Progress,Alice Chen
INV-2025-0007,Stark Industrial,483.06,Begin Review,2025-07-01T20:33:02Z,In Progress,David Singh
INV-2025-0012,Globex Logistics,2919.82,Begin Review,2025-07-01T23:08:47Z,In Progress,Carla Reyes
INV-2025-0007,Stark Industrial,3993.63,Approve Invoice,2025-07-01T23:37:02Z,Approved,Frank Muller
INV-2025-0001,Acme Office Supplies,3008.16,Begin Review,2025-07-02T00:35:24Z,In Progress,Carla Reyes
INV-2025-0004,Soylent Catering,290.83,Begin Review,2025-07-02T01:33:29Z,In Progress,Ben Okoro
INV-2025-0003,Acme Office Supplies,3748.12,Begin Review,2025-07-02T04:52:21Z,In Progress,Carla Reyes
INV-2025-0010,Umbrella Facilities,513.79,Begin Review,2025-07-02T05:16:01Z,In Progress,Carla Reyes
INV-2025-0014,Wonka Ingredients,3614.10,Receive Invoice,2025-07-02T08:46:58Z,Received,David Singh
INV-2025-0012,Globex Logistics,1582.65,Raise Dispute,2025-07-02T09:58:47Z,Disputed,Carla Reyes
INV-2025-0015,Initech Software,3956.50,Receive Invoice,2025-07-02T14:29:06Z,Received,Alice Chen
INV-2025-0003,Acme Office Supplies,2641.04,Approve Invoice,2025-07-02T14:36:21Z,Approved,Frank Muller
INV-2025-0016,Wayne Utilities,4121.59,Receive Invoice,2025-07-02T14:36:35Z,Received,David Singh
INV-2025-0007,Stark Industrial,2223.50,Schedule Payment,2025-07-02T16:03:02Z,Ready to Pay,David Singh
INV-2025-0017,Vandelay Imports,2196.15,Receive Invoice,2025-07-02T16:10:40Z,Received,David Singh
INV-2025-0002,Vandelay Imports,2116.83,Begin Review,2025-07-02T23:15:41Z,In Progress,David Singh
INV-2025-0008,Northwind Traders,1058.11,Begin Review,2025-07-03T00:02:33Z,In Progress,David Singh
