Application,Activity,Timestamp,Stage,Team
APP-2026-0001,Receive Application,2026-04-01T08:03:31Z,Received,Intake
APP-2026-0002,Receive Application,2026-04-01T10:32:14Z,Received,Intake
APP-2026-0003,Receive Application,2026-04-01T11:13:29Z,Received,Intake
APP-2026-0004,Receive Application,2026-04-01T11:59:38Z,Received,Intake
APP-2026-0005,Receive Application,2026-04-01T13:30:34Z,Received,Intake
APP-2026-0006,Receive Application,2026-04-01T14:10:04Z,Received,Intake
APP-2026-0007,Receive Application,2026-04-01T14:50:51Z,Received,Intake
APP-2026-0003,Verify Identity,2026-04-01T15:08:29Z,Identity Verified,Intake
APP-2026-0005,Verify Identity,2026-04-01T15:36:34Z,Identity Verified,Intake
APP-2026-0002,Verify Identity,2026-04-01T16:16:14Z,Identity Verified,Intake
APP-2026-0008,Receive Application,2026-04-01T16:29:35Z,Received,Intake
APP-2026-0009,Receive Application,2026-04-01T16:30:20Z,Received,Intake
APP-2026-0001,Verify Identity,2026-04-01T16:51:31Z,Identity Verified,Intake
APP-2026-0006,Verify Identity,2026-04-01T17:11:04Z,Identity Verified,Intake
APP-2026-0010,Receive Application,2026-04-01T17:35:03Z,Received,Intake
APP-2026-0009,Verify Identity,2026-04-01T18:51:20Z,Identity Verified,Intake
APP-2026-0004,Verify Identity,2026-04-01T19:17:38Z,Identity Verified,Intake
APP-2026-0008,Verify Identity,2026-04-01T19:23:35Z,Identity Verified,Intake
APP-2026-0003,Credit Check,2026-04-01T19:35:29Z,Credit Checked,Credit Team
APP-2026-0007,Verify Identity,2026-04-01T20:29:51Z,Identity Verified,Intake
APP-2026-0003,Request Documents,2026-04-01T21:07:29Z,Awaiting Documents,Credit Team
APP-2026-0010,Verify Identity,2026-04-02T01:19:03Z,Identity Verified,Intake
APP-2026-0007,Credit Check,2026-04-02T01:19:51Z,Credit Checked,Credit Team
APP-2026-0001,Credit Check,2026-04-02T02:14:31Z,Credit Checked,Credit Team
APP-2026-0004,Credit Check,2026-04-02T05:06:38Z,Credit Checked,Credit Team
APP-2026-0002,Credit Check,2026-04-02T05:33:14Z,Credit Checked,Credit Team
APP-2026-0004,Request Documents,2026-04-02T06:36:38Z,Awaiting Documents,Credit Team
APP-2026-0001,Request Documents,2026-04-02T07:59:31Z,Awaiting Documents,Credit Team
APP-2026-0007,Request Documents,2026-04-02T08:02:51Z,Awaiting Documents,Credit Team
APP-2026-0011,Receive Application,2026-04-02T08:07:25Z,Received,Intake
APP-2026-0012,Receive Application,2026-04-02T08:41:51Z,Received,Intake
APP-2026-0013,Receive Application,2026-04-02T09:29:38Z,Received,Intake
APP-2026-0014,Receive Application,2026-04-02T09:30:55Z,Received,Intake
APP-2026-0002,Request Documents,2026-04-02T09:33:14Z,Awaiting Documents,Credit Team
APP-2026-0015,Receive Application,2026-04-02T09:35:03Z,Received,Intake
APP-2026-0008,Credit Check,2026-04-02T10:21:35Z,Credit Checked,Credit Team
APP-2026-0012,Verify Identity,2026-04-02T10:25:51Z,Identity Verified,Intake
APP-2026-0016,Receive Application,2026-04-02T10:43:33Z,Received,Intake
APP-2026-0017,Receive Application,2026-04-02T10:58:12Z,Received,Intake
APP-2026-0018,Receive Application,2026-04-02T11:00:57Z,Received,Intake
APP-2026-0005,Credit Check,2026-04-02T11:44:34Z,Credit Checked,Credit Team
APP-2026-0019,Receive Application,2026-04-02T11:57:35Z,Received,Intake
APP-2026-0020,Receive Application,2026-04-02T13:13:00Z,Received,Intake
APP-2026-0021,Receive Application,2026-04-02T13:30:04Z,Received,Intake
APP-2026-0011,Verify Identity,2026-04-02T13:40:25Z,Identity Verified,Intake
APP-2026-0013,Verify Identity,2026-04-02T14:10:38Z,Identity Verified,Intake
APP-2026-0015,Verify Identity,2026-04-02T14:14:03Z,Identity Verified,Intake
APP-2026-0022,Receive Application,2026-04-02T14:14:44Z,Received,Intake
APP-2026-0017,Verify Identity,2026-04-02T14:57:12Z,Identity Verified,Intake
APP-2026-0023,Receive Application,2026-04-02T15:04:14Z,Received,Intake
APP-2026-0019,Verify Identity,2026-04-02T15:19:35Z,Identity Verified,Intake
APP-2026-0024,Receive Application,2026-04-02T15:23:20Z,Received,Intake
APP-2026-0006,Credit Check,2026-04-02T15:32:04Z,Credit Checked,Credit Team
