Order ID,Customer,Region,Channel,Amount,Activity,Timestamp,Order Status,Resource
SO-2026-0001,Soylent Foods,Americas,Partner,22040.41,Receive Order,2026-02-02T08:23:45Z,Received,Priya Nair
SO-2026-0002,Globex Stores,Americas,Partner,14742.53,Receive Order,2026-02-02T08:38:36Z,Received,Tom Becker
SO-2026-0003,Initech Ltd,APAC,Web,31763.88,Receive Order,2026-02-02T11:33:27Z,Received,Luis Ortega
SO-2026-0004,Wonka Brands,APAC,Web,20641.27,Receive Order,2026-02-02T11:44:00Z,Received,Priya Nair
SO-2026-0005,Hooli Inc,APAC,Partner,14107.25,Receive Order,2026-02-02T11:52:04Z,Received,Tom Becker
SO-2026-0006,Acme Retail,EMEA,Web,7337.29,Receive Order,2026-02-02T11:57:28Z,Received,Nadia Rahman
SO-2026-0003,Initech Ltd,APAC,Web,6863.34,Run Credit Check,2026-02-02T13:29:27Z,Credit Check,Credit Desk
SO-2026-0007,Wayne Enterprises,APAC,Partner,7479.91,Receive Order,2026-02-02T14:04:05Z,Received,Tom Becker
SO-2026-0008,Initech Ltd,EMEA,Partner,11825.47,Receive Order,2026-02-02T14:40:13Z,Received,Luis Ortega
SO-2026-0009,Globex Stores,EMEA,Partner,36227.41,Receive Order,2026-02-02T14:40:44Z,Received,Luis Ortega
SO-2026-0010,Soylent Foods,APAC,Partner,43218.35,Receive Order,2026-02-02T14:49:07Z,Received,Priya Nair
SO-2026-0011,Acme Retail,Americas,Web,19959.87,Receive Order,2026-02-02T14:50:18Z,Received,Tom Becker
SO-2026-0004,Wonka Brands,APAC,Web,19321.40,Run Credit Check,2026-02-02T16:30:00Z,Credit Check,Credit Desk
SO-2026-0002,Globex Stores,Americas,Partner,1100.76,Run Credit Check,2026-02-02T16:31:36Z,Credit Check,Credit Desk
SO-2026-0006,Acme Retail,EMEA,Web,37254.43,Run Credit Check,2026-02-02T17:54:28Z,Credit Check,Credit Desk
SO-2026-0008,Initech Ltd,EMEA,Partner,1609.12,Run Credit Check,2026-02-02T18:10:13Z,Credit Check,Credit Desk
SO-2026-0009,Globex Stores,EMEA,Partner,26130.50,Run Credit Check,2026-02-02T18:48:44Z,Credit Check,Credit Desk
SO-2026-0005,Hooli Inc,APAC,Partner,43476.71,Run Credit Check,2026-02-02T19:18:04Z,Credit Check,Credit Desk
SO-2026-0007,Wayne Enterprises,APAC,Partner,44926.84,Run Credit Check,2026-02-02T19:25:05Z,Credit Check,Credit Desk
SO-2026-0003,Initech Ltd,APAC,Web,2993.42,Place On Credit Hold,2026-02-02T20:50:27Z,On Credit Hold,Credit Desk
SO-2026-0001,Soylent Foods,Americas,Partner,11730.82,Approve Order,2026-02-02T20:56:45Z,Approved,Order Desk
SO-2026-0010,Soylent Foods,APAC,Partner,15678.35,Run Credit Check,2026-02-02T21:46:07Z,Credit Check,Credit Desk
SO-2026-0011,Acme Retail,Americas,Web,38412.67,Run Credit Check,2026-02-02T22:45:18Z,Credit Check,Credit Desk
SO-2026-0008,Initech Ltd,EMEA,Partner,21032.27,Approve Order,2026-02-03T00:12:13Z,Approved,Order Desk
SO-2026-0009,Globex Stores,EMEA,Partner,34350.54,Place On Credit Hold,2026-02-03T01:15:44Z,On Credit Hold,Credit Desk
