Requisition,Activity,Timestamp,Status,Team
REQ-2026-0001,Raise Requisition,2026-03-02T09:31:17Z,Raised,Procurement
REQ-2026-0002,Raise Requisition,2026-03-02T13:10:20Z,Raised,Procurement
REQ-2026-0003,Raise Requisition,2026-03-02T14:58:24Z,Raised,Procurement
REQ-2026-0004,Raise Requisition,2026-03-02T15:57:17Z,Raised,Procurement
REQ-2026-0005,Raise Requisition,2026-03-02T16:31:13Z,Raised,Procurement
REQ-2026-0006,Raise Requisition,2026-03-02T16:44:12Z,Raised,Procurement
REQ-2026-0001,Check Budget,2026-03-02T18:52:17Z,Budget Checked,Finance
REQ-2026-0005,Check Budget,2026-03-02T21:09:13Z,Budget Checked,Finance
REQ-2026-0002,Check Budget,2026-03-02T22:03:20Z,Budget Checked,Finance
REQ-2026-0004,Check Budget,2026-03-02T22:48:17Z,Budget Checked,Finance
REQ-2026-0006,Check Budget,2026-03-02T23:38:12Z,Budget Checked,Finance
REQ-2026-0003,Check Budget,2026-03-03T00:08:24Z,Budget Checked,Finance
REQ-2026-0007,Raise Requisition,2026-03-03T08:02:06Z,Raised,Procurement
REQ-2026-0008,Raise Requisition,2026-03-03T09:29:34Z,Raised,Procurement
REQ-2026-0009,Raise Requisition,2026-03-03T10:07:49Z,Raised,Procurement
REQ-2026-0010,Raise Requisition,2026-03-03T10:57:29Z,Raised,Procurement
REQ-2026-0009,Check Budget,2026-03-03T12:54:49Z,Budget Checked,Finance
REQ-2026-0011,Raise Requisition,2026-03-03T13:01:00Z,Raised,Procurement
REQ-2026-0012,Raise Requisition,2026-03-03T13:27:53Z,Raised,Procurement
REQ-2026-0013,Raise Requisition,2026-03-03T14:17:03Z,Raised,Procurement
REQ-2026-0014,Raise Requisition,2026-03-03T14:59:44Z,Raised,Procurement
REQ-2026-0012,Check Budget,2026-03-03T15:28:53Z,Budget Checked,Finance
REQ-2026-0010,Check Budget,2026-03-03T15:45:29Z,Budget Checked,Finance
REQ-2026-0015,Raise Requisition,2026-03-03T16:44:22Z,Raised,Procurement
REQ-2026-0011,Check Budget,2026-03-03T18:24:00Z,Budget Checked,Finance
REQ-2026-0007,Check Budget,2026-03-03T19:34:06Z,Budget Checked,Finance
REQ-2026-0013,Check Budget,2026-03-03T19:46:03Z,Budget Checked,Finance
REQ-2026-0008,Check Budget,2026-03-03T20:33:34Z,Budget Checked,Finance
REQ-2026-0015,Check Budget,2026-03-03T21:04:22Z,Budget Checked,Finance
REQ-2026-0014,Check Budget,2026-03-03T23:20:44Z,Budget Checked,Finance
REQ-2026-0016,Raise Requisition,2026-03-04T09:18:25Z,Raised,Procurement
REQ-2026-0017,Raise Requisition,2026-03-04T10:11:40Z,Raised,Procurement
REQ-2026-0004,Review Terms,2026-03-04T11:43:17Z,Terms Reviewed,Legal
REQ-2026-0018,Raise Requisition,2026-03-04T12:14:16Z,Raised,Procurement
REQ-2026-0019,Raise Requisition,2026-03-04T12:37:20Z,Raised,Procurement
REQ-2026-0020,Raise Requisition,2026-03-04T13:07:29Z,Raised,Procurement
REQ-2026-0016,Check Budget,2026-03-04T13:29:25Z,Budget Checked,Finance
REQ-2026-0021,Raise Requisition,2026-03-04T13:41:42Z,Raised,Procurement
REQ-2026-0022,Raise Requisition,2026-03-04T14:14:49Z,Raised,Procurement
REQ-2026-0023,Raise Requisition,2026-03-04T14:25:59Z,Raised,Procurement
REQ-2026-0024,Raise Requisition,2026-03-04T14:52:46Z,Raised,Procurement
REQ-2026-0004,Raise Purchase Order,2026-03-04T15:11:17Z,Ordered,Procurement
REQ-2026-0020,Check Budget,2026-03-04T15:15:29Z,Budget Checked,Finance
REQ-2026-0017,Check Budget,2026-03-04T17:06:40Z,Budget Checked,Finance
REQ-2026-0023,Check Budget,2026-03-04T17:57:59Z,Budget Checked,Finance
REQ-2026-0011,Review Terms,2026-03-04T20:02:00Z,Terms Reviewed,Legal
REQ-2026-0002,Review Terms,2026-03-04T20:27:20Z,Terms Reviewed,Legal
REQ-2026-0022,Check Budget,2026-03-04T20:53:49Z,Budget Checked,Finance
REQ-2026-0018,Check Budget,2026-03-04T20:56:16Z,Budget Checked,Finance
REQ-2026-0002,Raise Purchase Order,2026-03-04T22:02:20Z,Ordered,Procurement
REQ-2026-0021,Check Budget,2026-03-04T23:18:42Z,Budget Checked,Finance
REQ-2026-0024,Check Budget,2026-03-05T00:18:46Z,Budget Checked,Finance
REQ-2026-0019,Check Budget,2026-03-05T00:45:20Z,Budget Checked,Finance
REQ-2026-0014,Review Terms,2026-03-05T04:29:44Z,Terms Reviewed,Legal
REQ-2026-0015,Review Terms,2026-03-05T04:51:22Z,Terms Reviewed,Legal
REQ-2026-0025,Raise Requisition,2026-03-05T09:56:13Z,Raised,Procurement
REQ-2026-0026,Raise Requisition,2026-03-05T10:08:50Z,Raised,Procurement
REQ-2026-0027,Raise Requisition,2026-03-05T11:36:23Z,Raised,Procurement
REQ-2026-0028,Raise Requisition,2026-03-05T12:37:30Z,Raised,Procurement
REQ-2026-0014,Raise Purchase Order,2026-03-05T12:47:44Z,Ordered,Procurement
REQ-2026-0029,Raise Requisition,2026-03-05T12:54:25Z,Raised,Procurement
REQ-2026-0026,Check Budget,2026-03-05T13:09:50Z,Budget Checked,Finance
REQ-2026-0030,Raise Requisition,2026-03-05T13:58:21Z,Raised,Procurement
REQ-2026-0015,Query Terms,2026-03-05T14:28:22Z,Terms Queried,Finance
REQ-2026-0031,Raise Requisition,2026-03-05T15:12:18Z,Raised,Procurement
REQ-2026-0032,Raise Requisition,2026-03-05T15:39:16Z,Raised,Procurement
REQ-2026-0025,Check Budget,2026-03-05T15:57:13Z,Budget Checked,Finance
REQ-2026-0030,Check Budget,2026-03-05T18:02:21Z,Budget Checked,Finance
REQ-2026-0008,Review Terms,2026-03-05T18:42:34Z,Terms Reviewed,Legal
REQ-2026-0029,Check Budget,2026-03-05T19:18:25Z,Budget Checked,Finance
REQ-2026-0011,Query Terms,2026-03-05T20:06:00Z,Terms Queried,Finance
REQ-2026-0027,Check Budget,2026-03-05T20:23:23Z,Budget Checked,Finance
REQ-2026-0028,Check Budget,2026-03-05T23:21:30Z,Budget Checked,Finance
REQ-2026-0031,Check Budget,2026-03-06T00:04:18Z,Budget Checked,Finance
REQ-2026-0006,Review Terms,2026-03-06T00:07:12Z,Terms Reviewed,Legal
REQ-2026-0013,Review Terms,2026-03-06T01:07:03Z,Terms Reviewed,Legal
REQ-2026-0032,Check Budget,2026-03-06T02:24:16Z,Budget Checked,Finance
REQ-2026-0013,Raise Purchase Order,2026-03-06T02:25:03Z,Ordered,Procurement
REQ-2026-0021,Review Terms,2026-03-06T09:48:42Z,Terms Reviewed,Legal
REQ-2026-0024,Review Terms,2026-03-06T09:48:46Z,Terms Reviewed,Legal
REQ-2026-0011,Accept Terms,2026-03-06T10:04:00Z,Terms Agreed,Finance
REQ-2026-0006,Query Terms,2026-03-06T10:37:12Z,Terms Queried,Finance
REQ-2026-0033,Raise Requisition,2026-03-06T13:31:15Z,Raised,Procurement
REQ-2026-0021,Raise Purchase Order,2026-03-06T13:47:42Z,Ordered,Procurement
REQ-2026-0034,Raise Requisition,2026-03-06T14:03:14Z,Raised,Procurement
REQ-2026-0016,Review Terms,2026-03-06T14:04:25Z,Terms Reviewed,Legal
REQ-2026-0008,Query Terms,2026-03-06T15:03:34Z,Terms Queried,Finance
REQ-2026-0020,Review Terms,2026-03-06T15:32:29Z,Terms Reviewed,Legal
REQ-2026-0035,Raise Requisition,2026-03-06T15:37:08Z,Raised,Procurement
REQ-2026-0012,Review Terms,2026-03-06T15:50:53Z,Terms Reviewed,Legal
REQ-2026-0036,Raise Requisition,2026-03-06T16:01:49Z,Raised,Procurement
REQ-2026-0011,Raise Purchase Order,2026-03-06T16:10:00Z,Ordered,Procurement
REQ-2026-0037,Raise Requisition,2026-03-06T16:10:14Z,Raised,Procurement
REQ-2026-0032,Reject Requisition,2026-03-06T18:13:16Z,Rejected,Finance
REQ-2026-0006,Accept Terms,2026-03-06T18:25:12Z,Terms Agreed,Finance
REQ-2026-0030,Review Terms,2026-03-06T18:25:21Z,Terms Reviewed,Legal
REQ-2026-0037,Check Budget,2026-03-06T18:51:14Z,Budget Checked,Finance
REQ-2026-0035,Check Budget,2026-03-06T20:49:08Z,Budget Checked,Finance
REQ-2026-0034,Check Budget,2026-03-06T21:00:14Z,Budget Checked,Finance
REQ-2026-0019,Review Terms,2026-03-06T21:34:20Z,Terms Reviewed,Legal
REQ-2026-0018,Review Terms,2026-03-06T23:56:16Z,Terms Reviewed,Legal
REQ-2026-0007,Review Terms,2026-03-06T23:57:06Z,Terms Reviewed,Legal
REQ-2026-0010,Review Terms,2026-03-07T00:05:29Z,Terms Reviewed,Legal
REQ-2026-0033,Check Budget,2026-03-07T01:21:15Z,Budget Checked,Finance
REQ-2026-0006,Raise Purchase Order,2026-03-07T02:39:12Z,Ordered,Procurement
REQ-2026-0035,Reject Requisition,2026-03-07T03:16:08Z,Rejected,Finance
REQ-2026-0036,Check Budget,2026-03-07T03:43:49Z,Budget Checked,Finance
REQ-2026-0001,Review Terms,2026-03-07T04:52:17Z,Terms Reviewed,Legal
REQ-2026-0010,Query Terms,2026-03-07T05:02:29Z,Terms Queried,Finance
REQ-2026-0020,Query Terms,2026-03-07T06:44:29Z,Terms Queried,Finance
REQ-2026-0025,Review Terms,2026-03-07T06:57:13Z,Terms Reviewed,Legal
REQ-2026-0018,Raise Purchase Order,2026-03-07T08:08:16Z,Ordered,Procurement
REQ-2026-0003,Review Terms,2026-03-07T08:59:24Z,Terms Reviewed,Legal
REQ-2026-0024,Query Terms,2026-03-07T09:05:46Z,Terms Queried,Finance
REQ-2026-0007,Query Terms,2026-03-07T09:25:06Z,Terms Queried,Finance
REQ-2026-0009,Review Terms,2026-03-07T11:34:49Z,Terms Reviewed,Legal
REQ-2026-0025,Raise Purchase Order,2026-03-07T11:50:13Z,Ordered,Procurement
REQ-2026-0005,Review Terms,2026-03-07T13:54:13Z,Terms Reviewed,Legal
REQ-2026-0012,Query Terms,2026-03-07T14:07:53Z,Terms Queried,Finance
REQ-2026-0016,Query Terms,2026-03-07T14:12:25Z,Terms Queried,Finance
REQ-2026-0003,Raise Purchase Order,2026-03-07T15:02:24Z,Ordered,Procurement
REQ-2026-0030,Query Terms,2026-03-07T15:41:21Z,Terms Queried,Finance
REQ-2026-0031,Review Terms,2026-03-07T17:36:18Z,Terms Reviewed,Legal
REQ-2026-0001,Query Terms,2026-03-07T18:05:17Z,Terms Queried,Finance
REQ-2026-0019,Query Terms,2026-03-07T20:14:20Z,Terms Queried,Finance
REQ-2026-0015,Revise Terms,2026-03-07T21:21:22Z,Terms Revised,Legal
REQ-2026-0031,Raise Purchase Order,2026-03-07T21:35:18Z,Ordered,Procurement
REQ-2026-0023,Review Terms,2026-03-08T03:55:59Z,Terms Reviewed,Legal
REQ-2026-0029,Review Terms,2026-03-08T04:23:25Z,Terms Reviewed,Legal
REQ-2026-0029,Raise Purchase Order,2026-03-08T05:28:25Z,Ordered,Procurement
REQ-2026-0019,Accept Terms,2026-03-08T07:05:20Z,Terms Agreed,Finance
REQ-2026-0023,Raise Purchase Order,2026-03-08T08:43:59Z,Ordered,Procurement
REQ-2026-0009,Query Terms,2026-03-08T11:27:49Z,Terms Queried,Finance
REQ-2026-0019,Raise Purchase Order,2026-03-08T11:43:20Z,Ordered,Procurement
REQ-2026-0005,Query Terms,2026-03-08T12:39:13Z,Terms Queried,Finance
REQ-2026-0015,Accept Terms,2026-03-08T12:43:22Z,Terms Agreed,Finance
REQ-2026-0010,Revise Terms,2026-03-08T13:38:29Z,Terms Revised,Legal
REQ-2026-0012,Revise Terms,2026-03-08T14:12:53Z,Terms Revised,Legal
REQ-2026-0015,Raise Purchase Order,2026-03-08T17:27:22Z,Ordered,Procurement
REQ-2026-0017,Review Terms,2026-03-08T19:25:40Z,Terms Reviewed,Legal
REQ-2026-0022,Review Terms,2026-03-08T23:59:49Z,Terms Reviewed,Legal
