Ticket ID,Channel,Priority,Activity,Timestamp,Agent
TKT-2026-0001,Chat,Critical,Log Ticket,2026-02-02T08:38:36Z,Ravi Patel
TKT-2026-0001,Chat,Critical,Triage,2026-02-02T09:04:36Z,Ravi Patel
TKT-2026-0001,Chat,Critical,Assign,2026-02-02T11:21:36Z,Ravi Patel
TKT-2026-0002,Chat,Low,Log Ticket,2026-02-02T11:33:27Z,Ravi Patel
TKT-2026-0003,Email,Critical,Log Ticket,2026-02-02T11:52:04Z,Ingrid Nilsen
TKT-2026-0002,Chat,Low,Triage,2026-02-02T11:57:27Z,Ravi Patel
TKT-2026-0004,Email,Medium,Log Ticket,2026-02-02T11:57:28Z,Ingrid Nilsen
TKT-2026-0002,Chat,Low,Assign,2026-02-02T12:40:27Z,Ravi Patel
TKT-2026-0005,Email,Low,Log Ticket,2026-02-02T12:44:00Z,Grace Lee
TKT-2026-0003,Email,Critical,Triage,2026-02-02T14:09:04Z,Ingrid Nilsen
TKT-2026-0001,Chat,Critical,Investigate,2026-02-02T14:24:36Z,Ravi Patel
TKT-2026-0004,Email,Medium,Triage,2026-02-02T14:41:28Z,Ingrid Nilsen
TKT-2026-0005,Email,Low,Triage,2026-02-02T15:18:00Z,Grace Lee
TKT-2026-0003,Email,Critical,Assign,2026-02-02T15:22:04Z,Ingrid Nilsen
TKT-2026-0006,Chat,Medium,Log Ticket,2026-02-02T15:40:13Z,Mo Farah
TKT-2026-0007,Phone,High,Log Ticket,2026-02-02T15:40:44Z,Ingrid Nilsen
TKT-2026-0008,Phone,Medium,Log Ticket,2026-02-02T15:49:07Z,Grace Lee
TKT-2026-0002,Chat,Low,Investigate,2026-02-02T16:32:27Z,Ravi Patel
TKT-2026-0009,Email,Critical,Log Ticket,2026-02-02T16:50:18Z,Mo Farah
TKT-2026-0008,Phone,Medium,Triage,2026-02-02T17:15:07Z,Grace Lee
TKT-2026-0004,Email,Medium,Assign,2026-02-02T17:20:28Z,Ingrid Nilsen
TKT-2026-0006,Chat,Medium,Triage,2026-02-02T17:30:13Z,Mo Farah
TKT-2026-0009,Email,Critical,Triage,2026-02-02T18:11:18Z,Mo Farah
TKT-2026-0007,Phone,High,Triage,2026-02-02T18:34:44Z,Ingrid Nilsen
TKT-2026-0006,Chat,Medium,Assign,2026-02-02T18:46:13Z,Mo Farah
TKT-2026-0002,Chat,Low,Escalate,2026-02-02T19:18:27Z,Ravi Patel
TKT-2026-0007,Phone,High,Assign,2026-02-02T20:08:44Z,Ingrid Nilsen
TKT-2026-0005,Email,Low,Assign,2026-02-02T20:13:00Z,Grace Lee
TKT-2026-0008,Phone,Medium,Assign,2026-02-02T20:46:07Z,Grace Lee
TKT-2026-0009,Email,Critical,Assign,2026-02-02T21:05:18Z,Mo Farah
TKT-2026-0008,Phone,Medium,Investigate,2026-02-02T22:25:07Z,Grace Lee
TKT-2026-0009,Email,Critical,Investigate,2026-02-02T23:08:18Z,Mo Farah
TKT-2026-0004,Email,Medium,Investigate,2026-02-02T23:09:28Z,Ingrid Nilsen
TKT-2026-0003,Email,Critical,Investigate,2026-02-02T23:41:04Z,Ingrid Nilsen
TKT-2026-0005,Email,Low,Investigate,2026-02-03T00:15:00Z,Grace Lee
TKT-2026-0006,Chat,Medium,Investigate,2026-02-03T01:44:13Z,Mo Farah
TKT-2026-0007,Phone,High,Investigate,2026-02-03T02:30:44Z,Ingrid Nilsen
TKT-2026-0006,Chat,Medium,Resolve,2026-02-03T04:04:13Z,Mo Farah
TKT-2026-0003,Email,Critical,Resolve,2026-02-03T06:05:04Z,Ingrid Nilsen
TKT-2026-0001,Chat,Critical,Resolve,2026-02-03T06:12:36Z,Ravi Patel
TKT-2026-0006,Chat,Medium,Close,2026-02-03T07:07:13Z,Mo Farah
TKT-2026-0010,Email,Critical,Log Ticket,2026-02-03T08:13:53Z,Ingrid Nilsen
TKT-2026-0001,Chat,Critical,Close,2026-02-03T08:14:36Z,Ravi Patel
TKT-2026-0010,Email,Critical,Triage,2026-02-03T09:13:53Z,Ingrid Nilsen
TKT-2026-0011,Phone,Critical,Log Ticket,2026-02-03T11:05:14Z,Sam Cole
TKT-2026-0012,Portal,Low,Log Ticket,2026-02-03T11:13:27Z,Ingrid Nilsen
TKT-2026-0007,Phone,High,Escalate,2026-02-03T11:27:44Z,Ingrid Nilsen
TKT-2026-0013,Chat,Medium,Log Ticket,2026-02-03T13:04:32Z,Ravi Patel
TKT-2026-0010,Email,Critical,Assign,2026-02-03T13:10:53Z,Ingrid Nilsen
TKT-2026-0012,Portal,Low,Triage,2026-02-03T13:19:27Z,Ingrid Nilsen
TKT-2026-0003,Email,Critical,Close,2026-02-03T13:39:04Z,Ingrid Nilsen
TKT-2026-0012,Portal,Low,Assign,2026-02-03T13:47:27Z,Ingrid Nilsen
TKT-2026-0013,Chat,Medium,Triage,2026-02-03T13:54:32Z,Ravi Patel
TKT-2026-0011,Phone,Critical,Triage,2026-02-03T13:55:14Z,Sam Cole
TKT-2026-0014,Phone,Critical,Log Ticket,2026-02-03T14:25:32Z,Ingrid Nilsen
TKT-2026-0015,Email,Medium,Log Ticket,2026-02-03T14:36:15Z,Ingrid Nilsen
TKT-2026-0016,Phone,Critical,Log Ticket,2026-02-03T15:11:11Z,Ravi Patel
TKT-2026-0015,Email,Medium,Triage,2026-02-03T15:18:15Z,Ingrid Nilsen
TKT-2026-0013,Chat,Medium,Assign,2026-02-03T15:20:32Z,Ravi Patel
TKT-2026-0011,Phone,Critical,Assign,2026-02-03T15:51:14Z,Sam Cole
TKT-2026-0016,Phone,Critical,Triage,2026-02-03T16:52:11Z,Ravi Patel
TKT-2026-0017,Phone,Low,Log Ticket,2026-02-03T17:15:05Z,Sam Cole
TKT-2026-0014,Phone,Critical,Triage,2026-02-03T17:21:32Z,Ingrid Nilsen
TKT-2026-0005,Email,Low,Resolve,2026-02-03T17:41:00Z,Grace Lee
TKT-2026-0013,Chat,Medium,Investigate,2026-02-03T17:46:32Z,Ravi Patel
TKT-2026-0015,Email,Medium,Assign,2026-02-03T17:50:15Z,Ingrid Nilsen
TKT-2026-0014,Phone,Critical,Assign,2026-02-03T17:52:32Z,Ingrid Nilsen
TKT-2026-0012,Portal,Low,Investigate,2026-02-03T17:57:27Z,Ingrid Nilsen
TKT-2026-0016,Phone,Critical,Assign,2026-02-03T18:16:11Z,Ravi Patel
TKT-2026-0009,Email,Critical,Resolve,2026-02-03T18:23:18Z,Mo Farah
TKT-2026-0018,Chat,High,Log Ticket,2026-02-03T18:47:27Z,Ingrid Nilsen
TKT-2026-0011,Phone,Critical,Investigate,2026-02-03T18:53:14Z,Sam Cole
TKT-2026-0018,Chat,High,Triage,2026-02-03T19:07:27Z,Ingrid Nilsen
TKT-2026-0017,Phone,Low,Triage,2026-02-03T19:15:05Z,Sam Cole
TKT-2026-0017,Phone,Low,Assign,2026-02-03T19:39:05Z,Sam Cole
TKT-2026-0010,Email,Critical,Investigate,2026-02-03T19:42:53Z,Ingrid Nilsen
