Ticket ID,Channel,Priority,Activity,Timestamp,Agent
TKT-2025-0001,Portal,Low,Log Ticket,2025-11-03T10:29:13Z,Ingrid Nilsen
TKT-2025-0002,Email,Medium,Log Ticket,2025-11-03T11:11:57Z,Ingrid Nilsen
TKT-2025-0003,Phone,Critical,Log Ticket,2025-11-03T11:22:20Z,Mo Farah
TKT-2025-0001,Portal,Low,Triage,2025-11-03T11:49:13Z,Ingrid Nilsen
TKT-2025-0003,Phone,Critical,Triage,2025-11-03T11:49:20Z,Mo Farah
TKT-2025-0004,Phone,Low,Log Ticket,2025-11-03T11:53:58Z,Ravi Patel
TKT-2025-0001,Portal,Low,Assign,2025-11-03T13:31:13Z,Ingrid Nilsen
TKT-2025-0002,Email,Medium,Triage,2025-11-03T13:33:57Z,Ingrid Nilsen
TKT-2025-0005,Email,Critical,Log Ticket,2025-11-03T14:38:42Z,Ingrid Nilsen
TKT-2025-0004,Phone,Low,Triage,2025-11-03T14:43:58Z,Ravi Patel
TKT-2025-0004,Phone,Low,Assign,2025-11-03T15:12:58Z,Ravi Patel
TKT-2025-0002,Email,Medium,Assign,2025-11-03T16:26:57Z,Ingrid Nilsen
TKT-2025-0005,Email,Critical,Triage,2025-11-03T16:29:42Z,Ingrid Nilsen
TKT-2025-0003,Phone,Critical,Assign,2025-11-03T17:12:20Z,Mo Farah
TKT-2025-0006,Phone,Low,Log Ticket,2025-11-03T18:15:40Z,Mo Farah
TKT-2025-0001,Portal,Low,Investigate,2025-11-03T18:51:13Z,Ingrid Nilsen
TKT-2025-0006,Phone,Low,Triage,2025-11-03T19:44:40Z,Mo Farah
TKT-2025-0004,Phone,Low,Investigate,2025-11-03T20:08:58Z,Ravi Patel
TKT-2025-0005,Email,Critical,Assign,2025-11-03T21:14:42Z,Ingrid Nilsen
TKT-2025-0005,Email,Critical,Investigate,2025-11-03T22:53:42Z,Ingrid Nilsen
TKT-2025-0003,Phone,Critical,Investigate,2025-11-04T00:22:20Z,Mo Farah
TKT-2025-0002,Email,Medium,Investigate,2025-11-04T03:15:57Z,Ingrid Nilsen
TKT-2025-0006,Phone,Low,Resolve,2025-11-04T04:42:40Z,Mo Farah
TKT-2025-0006,Phone,Low,Close,2025-11-04T05:01:40Z,Mo Farah
TKT-2025-0007,Phone,High,Log Ticket,2025-11-04T07:52:46Z,Ingrid Nilsen
TKT-2025-0008,Email,Critical,Log Ticket,2025-11-04T08:40:08Z,Ingrid Nilsen
TKT-2025-0007,Phone,High,Triage,2025-11-04T10:06:46Z,Ingrid Nilsen
TKT-2025-0004,Phone,Low,Escalate,2025-11-04T10:14:58Z,Ravi Patel
TKT-2025-0008,Email,Critical,Assign,2025-11-04T11:08:08Z,Ingrid Nilsen
TKT-2025-0009,Email,Critical,Log Ticket,2025-11-04T13:09:04Z,Ravi Patel
TKT-2025-0003,Phone,Critical,Escalate,2025-11-04T13:39:20Z,Mo Farah
TKT-2025-0010,Phone,Critical,Log Ticket,2025-11-04T13:51:34Z,Mo Farah
TKT-2025-0007,Phone,High,Assign,2025-11-04T14:25:46Z,Ingrid Nilsen
TKT-2025-0011,Chat,Critical,Log Ticket,2025-11-04T14:38:10Z,Ravi Patel
TKT-2025-0009,Email,Critical,Triage,2025-11-04T15:07:04Z,Ravi Patel
TKT-2025-0012,Portal,Critical,Log Ticket,2025-11-04T15:22:13Z,Grace Lee
TKT-2025-0011,Chat,Critical,Triage,2025-11-04T15:33:10Z,Ravi Patel
TKT-2025-0007,Phone,High,Investigate,2025-11-04T15:46:46Z,Ingrid Nilsen
TKT-2025-0010,Phone,Critical,Triage,2025-11-04T16:03:34Z,Mo Farah
TKT-2025-0013,Chat,Low,Log Ticket,2025-11-04T16:13:48Z,Mo Farah
TKT-2025-0002,Email,Medium,Escalate,2025-11-04T16:15:57Z,Ingrid Nilsen
TKT-2025-0009,Email,Critical,Assign,2025-11-04T16:35:04Z,Ravi Patel
TKT-2025-0013,Chat,Low,Triage,2025-11-04T17:00:48Z,Mo Farah
TKT-2025-0005,Email,Critical,Resolve,2025-11-04T17:11:42Z,Ingrid Nilsen
TKT-2025-0008,Email,Critical,Investigate,2025-11-04T17:52:08Z,Ingrid Nilsen
TKT-2025-0012,Portal,Critical,Triage,2025-11-04T17:53:13Z,Grace Lee
TKT-2025-0014,Email,Medium,Log Ticket,2025-11-04T17:59:22Z,Grace Lee
TKT-2025-0013,Chat,Low,Assign,2025-11-04T18:24:48Z,Mo Farah
TKT-2025-0015,Chat,Low,Log Ticket,2025-11-04T18:47:49Z,Ravi Patel
TKT-2025-0001,Portal,Low,Resolve,2025-11-04T19:48:13Z,Ingrid Nilsen
TKT-2025-0012,Portal,Critical,Assign,2025-11-04T19:48:13Z,Grace Lee
TKT-2025-0014,Email,Medium,Triage,2025-11-04T20:10:22Z,Grace Lee
TKT-2025-0015,Chat,Low,Triage,2025-11-04T20:17:49Z,Ravi Patel
TKT-2025-0010,Phone,Critical,Assign,2025-11-04T21:07:34Z,Mo Farah
TKT-2025-0011,Chat,Critical,Assign,2025-11-04T21:24:10Z,Ravi Patel
TKT-2025-0014,Email,Medium,Assign,2025-11-04T21:29:22Z,Grace Lee
TKT-2025-0012,Portal,Critical,Investigate,2025-11-04T22:27:13Z,Grace Lee
TKT-2025-0011,Chat,Critical,Investigate,2025-11-04T22:36:10Z,Ravi Patel
TKT-2025-0011,Chat,Critical,Resolve,2025-11-04T23:44:10Z,Ravi Patel
TKT-2025-0001,Portal,Low,Close,2025-11-04T23:50:13Z,Ingrid Nilsen
TKT-2025-0015,Chat,Low,Assign,2025-11-05T00:52:49Z,Ravi Patel
TKT-2025-0009,Email,Critical,Investigate,2025-11-05T01:28:04Z,Ravi Patel
TKT-2025-0013,Chat,Low,Investigate,2025-11-05T03:21:48Z,Mo Farah
TKT-2025-0010,Phone,Critical,Investigate,2025-11-05T03:25:34Z,Mo Farah
TKT-2025-0008,Email,Critical,Resolve,2025-11-05T03:53:08Z,Ingrid Nilsen
TKT-2025-0005,Email,Critical,Close,2025-11-05T04:01:42Z,Ingrid Nilsen
TKT-2025-0007,Phone,High,Escalate,2025-11-05T04:24:46Z,Ingrid Nilsen
TKT-2025-0014,Email,Medium,Investigate,2025-11-05T06:03:22Z,Grace Lee
TKT-2025-0012,Portal,Critical,Escalate,2025-11-05T06:49:13Z,Grace Lee
TKT-2025-0011,Chat,Critical,Close,2025-11-05T06:51:10Z,Ravi Patel
TKT-2025-0016,Chat,High,Log Ticket,2025-11-05T07:01:27Z,Ingrid Nilsen
TKT-2025-0017,Portal,Medium,Log Ticket,2025-11-05T07:44:08Z,Sam Cole
TKT-2025-0013,Chat,Low,Escalate,2025-11-05T08:22:48Z,Mo Farah
TKT-2025-0004,Phone,Low,Resolve,2025-11-05T09:26:58Z,Ravi Patel
TKT-2025-0016,Chat,High,Triage,2025-11-05T09:36:27Z,Ingrid Nilsen
TKT-2025-0015,Chat,Low,Investigate,2025-11-05T09:51:49Z,Ravi Patel
TKT-2025-0017,Portal,Medium,Triage,2025-11-05T10:16:08Z,Sam Cole
TKT-2025-0008,Email,Critical,Close,2025-11-05T10:28:08Z,Ingrid Nilsen
TKT-2025-0007,Phone,High,Resolve,2025-11-05T10:33:46Z,Ingrid Nilsen
TKT-2025-0018,Chat,Critical,Log Ticket,2025-11-05T10:43:24Z,Sam Cole
TKT-2025-0019,Chat,Low,Log Ticket,2025-11-05T11:46:15Z,Ingrid Nilsen
TKT-2025-0016,Chat,High,Assign,2025-11-05T12:33:27Z,Ingrid Nilsen
TKT-2025-0020,Email,Medium,Log Ticket,2025-11-05T12:44:07Z,Ingrid Nilsen
TKT-2025-0019,Chat,Low,Triage,2025-11-05T12:47:15Z,Ingrid Nilsen
TKT-2025-0021,Chat,Low,Log Ticket,2025-11-05T12:49:54Z,Mo Farah
TKT-2025-0021,Chat,Low,Triage,2025-11-05T12:50:54Z,Mo Farah
TKT-2025-0018,Chat,Critical,Triage,2025-11-05T12:59:24Z,Sam Cole
TKT-2025-0010,Phone,Critical,Resolve,2025-11-05T13:43:34Z,Mo Farah
TKT-2025-0020,Email,Medium,Triage,2025-11-05T13:48:07Z,Ingrid Nilsen
TKT-2025-0010,Phone,Critical,Close,2025-11-05T14:47:34Z,Mo Farah
TKT-2025-0017,Portal,Medium,Assign,2025-11-05T14:48:08Z,Sam Cole
TKT-2025-0020,Email,Medium,Assign,2025-11-05T15:07:07Z,Ingrid Nilsen
TKT-2025-0020,Email,Medium,Investigate,2025-11-05T16:18:07Z,Ingrid Nilsen
TKT-2025-0022,Portal,Critical,Log Ticket,2025-11-05T16:43:34Z,Grace Lee
TKT-2025-0007,Phone,High,Close,2025-11-05T16:58:46Z,Ingrid Nilsen
TKT-2025-0019,Chat,Low,Resolve,2025-11-05T17:13:15Z,Ingrid Nilsen
TKT-2025-0004,Phone,Low,Close,2025-11-05T17:53:58Z,Ravi Patel
TKT-2025-0019,Chat,Low,Close,2025-11-05T17:54:15Z,Ingrid Nilsen
TKT-2025-0023,Chat,Critical,Log Ticket,2025-11-05T17:56:30Z,Ravi Patel
TKT-2025-0021,Chat,Low,Assign,2025-11-05T18:08:54Z,Mo Farah
TKT-2025-0023,Chat,Critical,Triage,2025-11-05T18:09:30Z,Ravi Patel
TKT-2025-0018,Chat,Critical,Assign,2025-11-05T18:12:24Z,Sam Cole
TKT-2025-0022,Portal,Critical,Assign,2025-11-05T18:28:34Z,Grace Lee
TKT-2025-0023,Chat,Critical,Assign,2025-11-05T18:57:30Z,Ravi Patel
TKT-2025-0021,Chat,Low,Investigate,2025-11-05T20:41:54Z,Mo Farah
TKT-2025-0022,Portal,Critical,Investigate,2025-11-05T20:58:34Z,Grace Lee
TKT-2025-0003,Phone,Critical,Resolve,2025-11-05T21:50:20Z,Mo Farah
TKT-2025-0009,Email,Critical,Resolve,2025-11-05T22:12:04Z,Ravi Patel
TKT-2025-0016,Chat,High,Investigate,2025-11-05T23:06:27Z,Ingrid Nilsen
TKT-2025-0014,Email,Medium,Resolve,2025-11-05T23:10:22Z,Grace Lee
TKT-2025-0017,Portal,Medium,Investigate,2025-11-06T00:49:08Z,Sam Cole
TKT-2025-0018,Chat,Critical,Investigate,2025-11-06T01:41:24Z,Sam Cole
TKT-2025-0003,Phone,Critical,Close,2025-11-06T01:59:20Z,Mo Farah
TKT-2025-0023,Chat,Critical,Investigate,2025-11-06T03:07:30Z,Ravi Patel
TKT-2025-0013,Chat,Low,Resolve,2025-11-06T04:09:48Z,Mo Farah
TKT-2025-0021,Chat,Low,Resolve,2025-11-06T04:16:54Z,Mo Farah
TKT-2025-0021,Chat,Low,Close,2025-11-06T04:46:54Z,Mo Farah
TKT-2025-0014,Email,Medium,Close,2025-11-06T04:51:22Z,Grace Lee
TKT-2025-0009,Email,Critical,Close,2025-11-06T06:39:04Z,Ravi Patel
TKT-2025-0012,Portal,Critical,Resolve,2025-11-06T07:25:13Z,Grace Lee
TKT-2025-0023,Chat,Critical,Escalate,2025-11-06T09:13:30Z,Ravi Patel
TKT-2025-0022,Portal,Critical,Resolve,2025-11-06T10:34:34Z,Grace Lee
TKT-2025-0015,Chat,Low,Resolve,2025-11-06T10:38:49Z,Ravi Patel
TKT-2025-0024,Chat,Medium,Log Ticket,2025-11-06T10:44:56Z,Mo Farah
TKT-2025-0013,Chat,Low,Close,2025-11-06T11:02:48Z,Mo Farah
TKT-2025-0024,Chat,Medium,Triage,2025-11-06T11:19:56Z,Mo Farah
TKT-2025-0017,Portal,Medium,Escalate,2025-11-06T12:07:08Z,Sam Cole
TKT-2025-0012,Portal,Critical,Close,2025-11-06T12:12:13Z,Grace Lee
TKT-2025-0002,Email,Medium,Resolve,2025-11-06T12:26:57Z,Ingrid Nilsen
TKT-2025-0025,Email,Low,Log Ticket,2025-11-06T12:29:03Z,Ingrid Nilsen
TKT-2025-0026,Portal,High,Log Ticket,2025-11-06T13:02:04Z,Sam Cole
TKT-2025-0027,Chat,High,Log Ticket,2025-11-06T13:44:11Z,Sam Cole
TKT-2025-0002,Email,Medium,Close,2025-11-06T13:57:57Z,Ingrid Nilsen
TKT-2025-0026,Portal,High,Triage,2025-11-06T14:08:04Z,Sam Cole
TKT-2025-0025,Email,Low,Triage,2025-11-06T14:09:03Z,Ingrid Nilsen
TKT-2025-0028,Chat,Medium,Log Ticket,2025-11-06T14:42:18Z,Grace Lee
TKT-2025-0026,Portal,High,Assign,2025-11-06T15:39:04Z,Sam Cole
TKT-2025-0027,Chat,High,Triage,2025-11-06T15:47:11Z,Sam Cole
TKT-2025-0029,Phone,Critical,Log Ticket,2025-11-06T16:30:01Z,Ingrid Nilsen
TKT-2025-0027,Chat,High,Assign,2025-11-06T16:34:11Z,Sam Cole
TKT-2025-0024,Chat,Medium,Assign,2025-11-06T16:37:56Z,Mo Farah
TKT-2025-0025,Email,Low,Resolve,2025-11-06T16:40:03Z,Ingrid Nilsen
